Article,FA,LA,Title,SelfCite,CitationKey,UsedXref
2,Matt,DeMond,The relationship between social anxiety and heartbeat evoked potential amplitude,N,judah_relationship_2018,N
3,Piergiuseppe,Andrea,A neurophysiological profiling of the heartbeat‐evoked potential in severe acquired brain injuries: A focus on unconsciousness,N,liuzzi_neurophysiological_2024,N
4,Shiva,Marc,When the Heart Meets the Mind: Exploring the Brain–Heart Interaction during Time Perception,N,khoshnoud_when_2024,N
5,Blas,Agustin,Heart evoked potential triggers brain responses to natural affective scenes: A preliminary study,N,couto_heart_2015,N
6,Sol,Agustin,A multidimensional and multi-feature framework for cardiac interoception,N,fittipaldi_multidimensional_2020,N
7,Fabian,Agustin,Time is body: Multimodal evidence of crosstalk between interoception and time estimation,N,richter_time_2021,N
8,Hongliang,Qing,Interoception Dysfunction Contributes to the Negative Emotional Bias in Major Depressive Disorder,N,zhou_interoception_2022,N
9,Vera,Martin,Short-Term Fasting and Ingestion of Caloric Drinks Affect Heartbeat-Evoked Potentials and Autonomic Nervous System Activity in Males,N,flasbeck_short-term_2021,N
10,Marieke,Bigna,Cardiac interoception in infants: Behavioral and neurophysiological measures in various emotional and self‐related contexts,N,weijs_cardiac_2023,N
11,Diego,Jacobo,Conscious processing of global and local auditory irregularities causes differentiated heartbeat-evoked responses,N,candia-rivera_conscious_2023,N
12,Frederike,Klaas,Focus of attention modulates the heartbeat evoked potential,N,petzschner_focus_2019,N
13,Blas,Agustin,The man who feels two hearts: the different pathways of interoception,N,couto_man_2014,N
14,Andre,Hartmut,Short‐term food deprivation increases amplitudes of heartbeat‐evoked potentials,N,schulz_shortterm_2015,N
15,Mariana,Catherine,Is the cardiac monitoring function related to the self in both the default network and right anterior insula?,N,babo-rebelo_is_2016,N
16,Christian,Rainer,The heartbeat-evoked brain potential in patients suffering from diabetic neuropathy and in healthy control persons,N,leopold_heartbeat-evoked_2001,N
17,Juan,Juan,Suppression of the cardiac electric field artifact from the heart action evoked potential,N,perez_suppression_2005,N
18,Gerhard,Friedrich,Cardiac field effects on the EEG,N,dirlich_cardiac_1997,N
19,Amanda,Simone,Interoceptive cardiac expectations to emotional stimuli predict visual perception.,N,marshall_interoceptive_2020,N
20,Starr,Milton,Utilizing Heartbeat Evoked Potentials to Identify Cardiac Regulation of Vagal Afferents During Emotion and Resonant Breathing,N,mackinnon_utilizing_2013,N
21,Andre,Matthias,Altered Patterns of Heartbeat-Evoked Potentials in Depersonalization/Derealization Disorder: Neurophysiological Evidence for Impaired Cortical Representation of Bodily Signals,N,schulz_altered_2015,N
22,Olga,Thomas,Changes in interoceptive processes following brain stimulation,N,pollatos_changes_2016,N
23,Lara,Manos,Neurobehavioral evidence of interoceptive sensitivity in early infancy,N,maister_neurobehavioral_2017,N
24,Andre,Claus,Distinctive body perception mechanisms in high versus low symptom reporters: A neurophysiological model for medically-unexplained symptoms,N,schulz_distinctive_2020,N
25,Paula,Agustin,Dynamic neurocognitive changes in interoception after heart transplant,N,salamone_dynamic_2020,N
26,Paula,Agustin,Interoception Primes Emotional Processing: Multimodal Evidence from Neurodegeneration,N,salamone_interoception_2021,N
27,Lilla,Manos,How do we relate to our heart? Neurobehavioral differences across three types of engagement with cardiac interoception,N,hodossy_how_2021,N
28,Shiva,Marc,Brain–Heart Interaction and the Experience of Flow While Playing a Video Game,N,khoshnoud_brainheart_2022,N
29,Joaquin,Agustin,Allostatic-interoceptive anticipation of social rejection,N,migeot_allostatic-interoceptive_2023,N
30,Carlos,Mathias,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation,N,venturabort_transcutaneous_2024,N
31,Kentaro,Shigeto,Exploring the neural underpinnings of chord prediction uncertainty: an electroencephalography (EEG) study,N,ono_exploring_2024,N
32,Adrian,Pandelis,Delving into the relationship between regular physical exercise and cardiac interoception in two cross-sectional studies,N,yoris_delving_2024,N
33,Andria,Marzia,Cardio-audio synchronization elicits neural and cardiac surprise responses in human wakefulness and sleep,N,pelentritou_cardio-audio_2024,N
34,HyeongDong,Catherine,Spontaneous fluctuations in neural responses to heartbeats predict visual detection,N,park_spontaneous_2014,N
35,Sarah,Mathias,Heartbeat Evoked Potentials during Sleep and Daytime Behavior in Children with Sleep-disordered Breathing,N,immanuel_heartbeat_2014,N
36,Mariana,Catherine,Neural Responses to Heartbeats in the Default Network Encode the Self in Spontaneous Thoughts,N,babo-rebelo_neural_2016,N
37,Jaejoong,Bumseok,Sad faces increase the heartbeat-associated interoceptive information flow within the salience network: a MEG study,N,kim_sad_2019,N
38,Damiano,Catherine,Responses to Heartbeats in Ventromedial Prefrontal Cortex Contribute to Subjective Preference-Based Decisions,N,azzalini_responses_2021,N
39,Yihui,Pengmin,Dual interaction between heartbeat-evoked responses and stimuli,N,zhang_dual_2023,N
40,Hongyun,Weidong,Effects of 24-h acute total sleep deprivation on physiological coupling in healthy young adults,N,liu_effects_2022,N
41,Mario,Vladimir,Autonomous sensory meridian response is associated with a larger heartbeat‐evoked potential amplitude without differences in interoceptive awareness,N,villenagonzalez_autonomous_2023,N
42,Junling,Hin,Increased neurocardiological interplay after mindfulness meditation: a brain oscillation-based approach,N,gao_increased_2023,N
43,Esra,Vadim,Cardiac activity impacts cortical motor excitability,N,al_cardiac_2023,N
44,Elsa,Alejandra,Timing along the cardiac cycle modulates neural signals of reward-based learning,N,fouragnan_timing_2024,N
45,Lorenz,Olga,Elevated EEG heartbeat-evoked potentials in adolescents with more ADHD symptoms,N,rapp_elevated_2023,N
46,Olga,Rainer,Brain structures involved in interoceptive awareness and cardioafferent signal processing: A dipole source localization study,N,pollatos_brain_2005,N
47,Andre,Hartmut,Cortisol rapidly affects amplitudes of heartbeat-evoked brain potentials—Implications for the contribution of stress to an altered perception of physical sensations?,N,schulz_cortisol_2013,N
48,Caroline,Joydeep,Aroused with heart: Modulation of heartbeat evoked potential by arousal induction and its oscillatory correlates,N,di_bernardi_luft_aroused_2015,N
49,Yishul,Eus,I Keep a Close Watch on This Heart of Mine: Increased Interoception in Insomnia,N,wei_i_2016,N
50,Amanda,Simone,Cardiac interoceptive learning is modulated by emotional valence perceived from facial expressions,N,marshall_cardiac_2018,N
51,Yuichi,Satoshi,Affective and temporal orientation of thoughts: Electrophysiological evidence,N,ito_affective_2019,N
52,Adrian,Agustin,Multilevel convergence of interoceptive impairments in hypertension: New evidence of disrupted body–brain interactions,N,yoris_multilevel_2018,N
53,SiriMaria,Gregor,Older adults show a higher heartbeat-evoked potential than young adults and a negative association with everyday metacognition,N,kamp_older_2021,N
54,Diego,Gaetano,The role of electroencephalography electrical reference in the assessment of functional brain–heart interplay: From methodology to user guidelines,N,candia-rivera_role_2021,N
55,Tamas,Peter,The heartbeat evoked potential is a questionable biomarker in nightmare disorder: A replication study,N,bogdany_heartbeat_2022,N
56,Amanda,Simone,From the inside out: Interoceptive feedback facilitates the integration of visceral signals for efficient sensory processing,N,marshall_inside_2022,N
57,Qiaoyue,Simone,Response inhibition is disrupted by interoceptive processing at cardiac systole,N,ren_response_2022,N
58,Lior,Nava,Steady-state visual evoked potentials differentiate between internally and externally directed attention,N,kritzman_steady-state_2022,N
59,Mindaugas,Inga,Brain responses and self-reported indices of interoception: Heartbeat evoked potentials are inversely associated with worrying about body sensations,N,baranauskas_brain_2017,N
60,Jiaoyan,Chunbo,Altered Interoceptive Processing in Generalized Anxiety Disorder—A Heartbeat-Evoked Potential Research,N,pang_altered_2019,N
61,Esra,Arno,Heart–brain interactions shape somatosensory perception and evoked potentials,N,al_heartbrain_2020,N
62,Rainer,Rolf,From the heart to the brain: A study of heartbeat contingent scalp potentials,N,schandry_heart_1986,N
63,Pedro,Achim,Heartbeat evoked potentials (HEP): topography and influence of cardiac awareness and focus of attention,N,montoya_heartbeat_1993,N
64,Olga,Rainer,Accuracy of heartbeat perception is reflected in the amplitude of the heartbeat‐evoked brain potential,N,pollatos_accuracy_2004,N
65,Marcus,Hugo,A cortical potential reflecting cardiac function,N,gray_cortical_2007,N
66,Hui,Qing,Effect of heartbeat perception on heartbeat evoked potential waves,N,yuan_effect_2007,N
67,Shiyun,Xiaoping,Effect of pain perception on the heartbeat evoked potential,N,shao_effect_2011,N
68,Janneke,Stefan,Heartbeat evoked potentials mirror altered body perception in depressed patients,N,terhaar_heartbeat_2012,N
69,Andres,Tristan,Auditory Feedback Differentially Modulates Behavioral and Neural Markers of Objective and Subjective Performance When Tapping to Your Heartbeat,N,canales-johnson_auditory_2015,N
70,Julia,Wolfgang,Heartbeat‐related EEG amplitude and phase modulations from wakefulness to deep sleep: Interactions with sleep spindles and slow oscillations,N,lechinger_heartbeatrelated_2015,N
71,Laura,Katja,Cortical Representation of Afferent Bodily Signals in Borderline Personality Disorder: Neural Correlates and Relationship to Emotional Dysregulation,N,muller_cortical_2015,N
72,HyeongDong,Olaf,Transient Modulations of Neural Responses to Heartbeats Covary with Bodily Self-Consciousness,N,park_transient_2016,N
73,Indira,Lucas,Attention in and Out: Scalp-Level and Intracranial EEG Correlates of Interoception and Exteroception,N,garcia-cordero_attention_2017,N
