"","Author","Journal","PublicationYear","FA","LA","GendCat_FALA","GendCat","singleauthors","selfcitations","percent","count","p_results"
"1","Dworkin et al.","Nat Neurosci","2020","Jordan D.,Dworkin","Danielle S.,Bassett",NA,"MM","included","excluded",58.6,NA,"1"
"2","Dworkin et al.","Nat Neurosci","2020","Jordan D.,Dworkin","Danielle S.,Bassett",NA,"FM","included","excluded",25.3,NA,"1"
"3","Dworkin et al.","Nat Neurosci","2020","Jordan D.,Dworkin","Danielle S.,Bassett",NA,"MF","included","excluded",9.4,NA,"1"
"4","Dworkin et al.","Nat Neurosci","2020","Jordan D.,Dworkin","Danielle S.,Bassett",NA,"FF","included","excluded",6.7,NA,"1"
"5","Hefter et al.","BioRxiv","2025","Kat,Hefter","Dani S.,Bassett",NA,"MM","included","excluded",39,NA,"2"
"6","Hefter et al.","BioRxiv","2025","Kat,Hefter","Dani S.,Bassett",NA,"FM","included","excluded",29,NA,"2"
"7","Hefter et al.","BioRxiv","2025","Kat,Hefter","Dani S.,Bassett",NA,"MF","included","excluded",14,NA,"2"
"8","Hefter et al.","BioRxiv","2025","Kat,Hefter","Dani S.,Bassett",NA,"FF","included","excluded",18,NA,"2"
"9","distractor","Sci Rep","2024","Amanda,Marshall","Simone,Schtz-Bosbach","FF","MM","include","exclude",54,27,"3"
"10","distractor","Sci Rep","2024","Amanda,Marshall","Simone,Schtz-Bosbach","FF","FM","include","exclude",30,15,"3"
"11","distractor","Sci Rep","2024","Amanda,Marshall","Simone,Schtz-Bosbach","FF","MF","include","exclude",12,6,"3"
"12","distractor","Sci Rep","2024","Amanda,Marshall","Simone,Schtz-Bosbach","FF","FF","include","exclude",4,2,"3"
"13","distractor","Sci Rep","2024","Amanda,Marshall","Simone,Schtz-Bosbach","FF","MM","exclude","exclude",52.0833333333333,25,"4"
"14","distractor","Sci Rep","2024","Amanda,Marshall","Simone,Schtz-Bosbach","FF","FM","exclude","exclude",31.25,15,"4"
"15","distractor","Sci Rep","2024","Amanda,Marshall","Simone,Schtz-Bosbach","FF","MF","exclude","exclude",12.5,6,"4"
"16","distractor","Sci Rep","2024","Amanda,Marshall","Simone,Schtz-Bosbach","FF","FF","exclude","exclude",4.16666666666667,2,"4"
