"","X","CitationKey","Author","Gender","W","A","GendCat","Gender_check","Gender_posthoc","GendCat_posthoc","SelfCite_posthoc"
"1",0,"al_heartbrain_2020","Esra,Al","female,97","0    0.114722
Name: nh_white, dtype: float32",0.8852783,"","no","f",NA,"N"
"2",1,"al_heartbrain_2020","Arno,Villringer","male,99","0    0.838583
Name: nh_white, dtype: float32",0.16141747,"femalemale","no","m","fm","Y"
"77",76,"al_cardiac_2023","Esra,Al","female,97","0    0.114722
Name: nh_white, dtype: float32",0.8852783,"","no","f",NA,"N"
"78",77,"al_cardiac_2023","Vadim,Nikulin","male,99","0    0.915539
Name: nh_white, dtype: float32",0.084461175,"femalemale","no","m","fm","Y"
"133",132,"kumral_attenuation_2022","Deniz,Kumral","male,62","0    0.475677
Name: nh_white, dtype: float32",0.52432346,"","yes","f",NA,"N"
"134",133,"kumral_attenuation_2022","Arno,Villringer","male,99","0    0.838583
Name: nh_white, dtype: float32",0.16141747,"malemale","no","m","fm","Y"
"165",164,"steinfath_validating_2025","Paul,Steinfath","male,99","0    0.97645
Name: nh_white, dtype: float32",0.023549862,"","no","m",NA,"Y"
"166",165,"steinfath_validating_2025","Arno,Villringer","male,99","0    0.838583
Name: nh_white, dtype: float32",0.16141747,"malemale","no","m","mm","Y"
"221",220,"villringer_brainbody_2025","Arno,Villringer","male,99","0    0.838583
Name: nh_white, dtype: float32",0.16141747,"","no","m",NA,"Y"
"222",221,"villringer_brainbody_2025","Michael,Gaebler","male,99","0    0.982167
Name: nh_white, dtype: float32",0.017833412,"malemale","no","m","mm","N"
