"","Author","Journal","PublicationYear","FA","LA","GendCat_FALA","GendCat","singleauthors","selfcitations","percent","p_results","count"
"1","Dworkin et al.","Nat Neurosci","2020","Jordan D.,Dworkin","Danielle S.,Bassett",NA,"MM","included","excluded",58.6,"1",NA
"2","Dworkin et al.","Nat Neurosci","2020","Jordan D.,Dworkin","Danielle S.,Bassett",NA,"FM","included","excluded",25.3,"1",NA
"3","Dworkin et al.","Nat Neurosci","2020","Jordan D.,Dworkin","Danielle S.,Bassett",NA,"MF","included","excluded",9.4,"1",NA
"4","Dworkin et al.","Nat Neurosci","2020","Jordan D.,Dworkin","Danielle S.,Bassett",NA,"FF","included","excluded",6.7,"1",NA
"5","Hefter et al.","BioRxiv","2025","Kat,Hefter","Dani S.,Bassett",NA,"MM","included","excluded",39,"2",NA
"6","Hefter et al.","BioRxiv","2025","Kat,Hefter","Dani S.,Bassett",NA,"FM","included","excluded",29,"2",NA
"7","Hefter et al.","BioRxiv","2025","Kat,Hefter","Dani S.,Bassett",NA,"MF","included","excluded",14,"2",NA
"8","Hefter et al.","BioRxiv","2025","Kat,Hefter","Dani S.,Bassett",NA,"FF","included","excluded",18,"2",NA
"9","hep-review","bioRxiv","2025","Paul,Steinfath","Arno,Villringer","UU","MM","include","exclude",50,"3",51
"10","hep-review","bioRxiv","2025","Paul,Steinfath","Arno,Villringer","UU","FM","include","exclude",21.5686274509804,"3",22
"11","hep-review","bioRxiv","2025","Paul,Steinfath","Arno,Villringer","UU","MF","include","exclude",12.7450980392157,"3",13
"12","hep-review","bioRxiv","2025","Paul,Steinfath","Arno,Villringer","UU","FF","include","exclude",15.6862745098039,"3",16
"13","hep-review","bioRxiv","2025","Paul,Steinfath","Arno,Villringer","UU","MM","exclude","exclude",46.2365591397849,"4",43
"14","hep-review","bioRxiv","2025","Paul,Steinfath","Arno,Villringer","UU","FM","exclude","exclude",23.6559139784946,"4",22
"15","hep-review","bioRxiv","2025","Paul,Steinfath","Arno,Villringer","UU","MF","exclude","exclude",13.9784946236559,"4",13
"16","hep-review","bioRxiv","2025","Paul,Steinfath","Arno,Villringer","UU","FF","exclude","exclude",16.1290322580645,"4",15
